Nama Produk,Harga Jual Sekarang,BOM Qty Output,Total Biaya Komponen,Biaya per Unit
ES TEH,3000.0,1.0,0.0,0.0
AYAM SEGEPOK SINGLE,1.0,1.0,0.0,0.0
PAKET AYAM SEGEPOK BEREMPAT,1.0,1.0,0.0,0.0
GEPREK ORIGINAL DADA/PAHA ATAS,12000.0,1.0,0.0,0.0
GEPREK ORIGINAL SAYAP,10000.0,1.0,0.0,0.0
GEPREK ORIGINAL PAHA BAWAH,10000.0,1.0,0.0,0.0
MENU SAMBAL RICA MANADO,1.0,1.0,0.0,0.0
MENU SAMBAL KOREK SURABAYA,1.0,1.0,0.0,0.0
MENU SAMBAL IJO PADANG,1.0,1.0,0.0,0.0
SAOS BBQ,3500.0,1.0,0.0,0.0
SAOS KEJU,3500.0,1.0,0.0,0.0
INDOMIE MEVVAH,11000.0,1.0,0.0,0.0
TELUR CRISPY,5000.0,1.0,0.0,0.0
TELUR DADAR/CEPLOK,5000.0,1.0,0.0,0.0
AYAM CRISPY DADA/PAHA ATAS,11500.0,1.0,0.0,0.0
AYAM CRISPY PAHA BAWAH,9000.0,1.0,0.0,0.0
AYAM CRISPY SAYAP,9000.0,1.0,0.0,0.0
GEPREK BAKAR ANDALAN,14500.0,1.0,0.0,0.0
GEPREK SAMBAL IJO PADANG,14500.0,1.0,0.0,0.0
GEPREK SAMBAL KOREK SURABAYA,14500.0,1.0,0.0,0.0
GEPREK SAMBAL RICA MANADO,14500.0,1.0,0.0,0.0
GEPREK SMOKEY BBQ,1.0,1.0,0.0,0.0
GEPREK SAOS KEJU LUMER,1.0,1.0,0.0,0.0
INDOMIE,5000.0,1.0,0.0,0.0
MENU SAMBAL ORIGINAL,1.0,1.0,0.0,0.0
ICE COLA,6000.0,1.0,0.0,0.0
LEMON TEA,8000.0,1.0,0.0,0.0
ORANGE,4000.0,1.0,0.0,0.0
KULIT CRISPY,8000.0,1.0,0.0,0.0
MOZZARELLA,1.0,1.0,0.0,0.0
PARUTAN KEJU,5000.0,1.0,0.0,0.0
KEMASAN VARIAN AYAM,1.0,1.0,0.0,0.0
KEMASAN VARIAN INDOMIE,1.0,1.0,0.0,0.0
NASI,4000.0,1.0,0.0,0.0
BIG HEMAT 1,1.0,1.0,0.0,0.0
BIG HEMAT 2,1.0,1.0,0.0,0.0
BIG HEMAT 3,14000.0,1.0,0.0,0.0
BIG HEMAT 4,15000.0,1.0,0.0,0.0
PKG SAMBAL ORI PAHA BAWAH,1.0,1.0,0.0,0.0
PAKET AYAM CRISPY DADA/PAHA ATAS,1.0,1.0,0.0,0.0
PAKET AYAM CRISPY PAHA BAWAH,1.0,1.0,0.0,0.0
PAKET AYAM CRISPY SAYAP,1.0,1.0,0.0,0.0
PAKET GEPREK LUMER,1.0,1.0,0.0,0.0
PAKET INDOMIE CRISPY DADA/PAHA ATAS,1.0,1.0,0.0,0.0
PAKET INDOMIE CRISPY PAHA BAWAH,1.0,1.0,0.0,0.0
PAKET KULIT CRISPY,1.0,1.0,0.0,0.0
PAKET MEVVAH BERDUA,1.0,1.0,0.0,0.0
PAKET YUKSSS MABAR,1.0,1.0,0.0,0.0
PKG GEPREK BAKAR ANDALAN,1.0,1.0,0.0,0.0
PKG GEPREK MEVVAH,1.0,1.0,0.0,0.0
PKG INDOMIE CRISPY SAYAP,1.0,1.0,0.0,0.0
PKG INDOMIE GEPREK SAMBAL LOKAL,1.0,1.0,0.0,0.0
PKG SAMBAL IJO PADANG,1.0,1.0,0.0,0.0
PKG SAMBAL KOREK SURABAYA,1.0,1.0,0.0,0.0
PKG SAMBAL ORI DADA/PAHA ATAS,1.0,1.0,0.0,0.0
PKG SAMBAL ORI SAYAP,1.0,1.0,0.0,0.0
PKG SAMBAL RICA MANADO,1.0,1.0,0.0,0.0
PKG SMOKEY BBQ,1.0,1.0,0.0,0.0
SEGEPOK BERLIMA,1.0,1.0,0.0,0.0
PAKET BIG ORDER CRISPY MIX,1.0,1.0,0.0,0.0
TEMPE CRISPY,5000.0,1.0,0.0,0.0
TAHU CRISPY,5000.0,1.0,0.0,0.0
ICE CHOCOLATE,9000.0,1.0,0.0,0.0
PAKET GEPREK BAKAR,1.0,1.0,0.0,0.0
PAKET SETIA AC,1.0,1.0,0.0,0.0
PAKET SETIA GO,1.0,1.0,0.0,0.0
PKG LOKAL DUO,1.0,1.0,0.0,0.0
YUKSSS RAMA 1,1.0,1.0,0.0,0.0
YUKSSS RAMA 2,1.0,1.0,0.0,0.0
YUKSSS RAMA 3,1.0,1.0,0.0,0.0
