Nama Unit,Memiliki,Unit Referensi
DUS,1,
GELAS,1,
PACK,1,
BKS @500GRM,500,GRM
BKS @1PTG,1,PTG
DUS @36PCS,36,PCS @65 MIL
BKS @25PCS,25,PCS
KTG @1KG,1,KG
BKS@150 Lembar,150,LEMBAR
"KTG @2,3KG",2.3,KG
"BTL @3,1LTR",3.1,LITER
JRG @5LTR,5,LITER
BKS @5PCS,5,PCS
BKS @5LBR,5,LEMBAR
IKAT @5BKS.50LBR,5,BKS @50LBR
BKS @9PTG,9,PTG
DUS @24BTL,24,BTL
BTL @650MIL,650,MIL
BTL @1LTR,1,LITER
PCS @65 MIL,65,MIL
DUS @30BKS,30,BKS
DUS @12LTR,12,LITER
DUS @15KG,15,KG
DUS @40BKS,40,BKS
RAK @30BTR,30,BUTIR
PCS @165GRM,165,GRM
BKS @300GRM,300,GRM
BKS @750GRM,750,GRM
BKS @950GRM,950,GRM
BKS@560GRM,560,GRM
DUS @24BTL,24,BTL
BKS @100PCS,100,PCS
BKS @50PCS,50,PCS
BKS @25PCS,25,PCS
BKS @50LBR,50,LEMBAR
RIM @500LBR,500,LEMBAR
RIM @200LBR,200,LEMBAR
BKS @100LBR,100,LEMBAR
BKS @360PCS,360,PCS
ROLL @2000PCS,2000,PCS
BKS @600PCS,600,PCS
BKS @210LBR,210,LEMBAR
LSN @12PCS,12,PCS
BKS @10PCS,10,PCS
BOX @50LBR,50,LEMBAR
BOX @100LBR,100,LEMBAR
BKS @380GRM,380,GRM
BKS @300MIL,300,MIL
BKS @425MIL,425,MIL
BKS @770MIL,770,MIL
BKS @100 Lembar,100,LEMBAR
