uom_ext_id,name,category_ext_id,category_name,uom_type,factor,note
uom_GRM,GRM,uomcat_berat,Berat,reference,1.0,reference unit kategori
uom_MIL,MIL,uomcat_volume,Volume,reference,1.0,reference unit kategori
uom_PTG,PTG,uomcat_potongan,Potongan,reference,1.0,reference unit kategori
uom_LEMBAR,LEMBAR,uomcat_lembar,Lembar,reference,1.0,reference unit kategori
uom_BUTIR,BUTIR,uomcat_butir,Butir,reference,1.0,reference unit kategori
uom_PCS,PCS,uomcat_pcs,Pcs,reference,1.0,reference unit kategori
uom_BKS,BKS,uomcat_bungkus,Bungkus (BKS),reference,1.0,reference unit kategori
uom_BTL,BTL,uomcat_botol,Botol (BTL),reference,1.0,reference unit kategori
uom_PACK,PACK,uomcat_pack,Pack,reference,1.0,reference unit kategori
uom_KG,KG,uomcat_berat,Berat,bigger,0.001,Memiliki=1000 GRM
uom_BKS_@500GRM,BKS @500GRM,uomcat_berat,Berat,bigger,0.002,Memiliki=500 GRM
uom_KTG_@1KG,KTG @1KG,uomcat_berat,Berat,bigger,0.001,Memiliki=1000 GRM
"uom_KTG_@2,3KG","KTG @2,3KG",uomcat_berat,Berat,bigger,0.0004347826,Memiliki=2300 GRM
uom_DUS_@15KG,DUS @15KG,uomcat_berat,Berat,bigger,6.66667e-05,Memiliki=15000 GRM
uom_PCS_@165GRM,PCS @165GRM,uomcat_berat,Berat,bigger,0.0060606061,Memiliki=165 GRM
uom_BKS_@300GRM,BKS @300GRM,uomcat_berat,Berat,bigger,0.0033333333,Memiliki=300 GRM
uom_BKS_@750GRM,BKS @750GRM,uomcat_berat,Berat,bigger,0.0013333333,Memiliki=750 GRM
uom_BKS_@950GRM,BKS @950GRM,uomcat_berat,Berat,bigger,0.0010526316,Memiliki=950 GRM
uom_BKS@560GRM,BKS@560GRM,uomcat_berat,Berat,bigger,0.0017857143,Memiliki=560 GRM
uom_BKS_@380GRM,BKS @380GRM,uomcat_berat,Berat,bigger,0.0026315789,Memiliki=380 GRM
uom_BKS_@1KG,BKS @1KG,uomcat_berat,Berat,bigger,0.001,Memiliki=1000 GRM
uom_BKS@20KG,BKS@20KG,uomcat_berat,Berat,bigger,5e-05,Memiliki=20000 GRM
uom_ZAK_@25KG,ZAK @25KG,uomcat_berat,Berat,bigger,4e-05,Memiliki=25000 GRM
uom_DUS_@12BKS-560GRM,DUS @12BKS-560GRM,uomcat_berat,Berat,bigger,0.0001488095,Memiliki=6720 GRM
uom_LITER,LITER,uomcat_volume,Volume,bigger,0.001,Memiliki=1000 MIL
"uom_BTL_@3,1LTR","BTL @3,1LTR",uomcat_volume,Volume,bigger,0.0003225806,Memiliki=3100 MIL
uom_JRG_@5LTR,JRG @5LTR,uomcat_volume,Volume,bigger,0.0002,Memiliki=5000 MIL
uom_BTL_@650MIL,BTL @650MIL,uomcat_volume,Volume,bigger,0.0015384615,Memiliki=650 MIL
uom_BTL_@1LTR,BTL @1LTR,uomcat_volume,Volume,bigger,0.001,Memiliki=1000 MIL
uom_PCS_@65_MIL,PCS @65 MIL,uomcat_volume,Volume,bigger,0.0153846154,Memiliki=65 MIL
uom_DUS_@36PCS,DUS @36PCS,uomcat_volume,Volume,bigger,0.0004273504,chain: 36 x (PCS @65 MIL=65 MIL) = 2340 MIL
uom_DUS_@12LTR,DUS @12LTR,uomcat_volume,Volume,bigger,8.33333e-05,Memiliki=12000 MIL
uom_BKS_@300MIL,BKS @300MIL,uomcat_volume,Volume,bigger,0.0033333333,Memiliki=300 MIL
uom_BKS_@425MIL,BKS @425MIL,uomcat_volume,Volume,bigger,0.0023529412,Memiliki=425 MIL
uom_BKS_@770MIL,BKS @770MIL,uomcat_volume,Volume,bigger,0.0012987013,Memiliki=770 MIL
uom_BKS_@1PTG,BKS @1PTG,uomcat_potongan,Potongan,bigger,1.0,Memiliki=1 PTG
uom_BKS_@9PTG,BKS @9PTG,uomcat_potongan,Potongan,bigger,0.1111111111,Memiliki=9 PTG
uom_BIJI_@2PTG,BIJI @2PTG,uomcat_potongan,Potongan,bigger,0.5,Memiliki=2 PTG
uom_BKS_@16PTG,BKS @16PTG,uomcat_potongan,Potongan,bigger,0.0625,Memiliki=16 PTG
uom_BKS@150_Lembar,BKS@150 Lembar,uomcat_lembar,Lembar,bigger,0.0066666667,Memiliki=150 LEMBAR
uom_BKS_@5LBR,BKS @5LBR,uomcat_lembar,Lembar,bigger,0.2,Memiliki=5 LEMBAR
uom_BKS_@50LBR,BKS @50LBR,uomcat_lembar,Lembar,bigger,0.02,Memiliki=50 LEMBAR
uom_RIM_@500LBR,RIM @500LBR,uomcat_lembar,Lembar,bigger,0.002,Memiliki=500 LEMBAR
uom_RIM_@200LBR,RIM @200LBR,uomcat_lembar,Lembar,bigger,0.005,Memiliki=200 LEMBAR
uom_BKS_@100LBR,BKS @100LBR,uomcat_lembar,Lembar,bigger,0.01,Memiliki=100 LEMBAR
uom_BKS_@210LBR,BKS @210LBR,uomcat_lembar,Lembar,bigger,0.0047619048,Memiliki=210 LEMBAR
uom_BOX_@50LBR,BOX @50LBR,uomcat_lembar,Lembar,bigger,0.02,Memiliki=50 LEMBAR
uom_BOX_@100LBR,BOX @100LBR,uomcat_lembar,Lembar,bigger,0.01,Memiliki=100 LEMBAR
uom_BKS_@100_Lembar,BKS @100 Lembar,uomcat_lembar,Lembar,bigger,0.01,Memiliki=100 LEMBAR
uom_IKAT_@5BKS.50LBR,IKAT @5BKS.50LBR,uomcat_lembar,Lembar,bigger,0.004,chain: 5 x (BKS @50LBR=50 LEMBAR) = 250 LEMBAR
uom_IKAT_@10BKS.50LBR,IKAT @10BKS.50LBR,uomcat_lembar,Lembar,bigger,0.002,chain: 10 x (BKS @50LBR=50 LEMBAR) = 500 LEMBAR
uom_PACK_@10BKS-100_LEMBAR,PACK @10BKS-100 LEMBAR,uomcat_lembar,Lembar,bigger,0.001,Memiliki=1000 LEMBAR
uom_RAK_@30BTR,RAK @30BTR,uomcat_butir,Butir,bigger,0.0333333333,Memiliki=30 BUTIR
uom_BKS_@25PCS,BKS @25PCS,uomcat_pcs,Pcs,bigger,0.04,Memiliki=25 PCS
uom_BKS_@5PCS,BKS @5PCS,uomcat_pcs,Pcs,bigger,0.2,Memiliki=5 PCS
uom_BKS_@100PCS,BKS @100PCS,uomcat_pcs,Pcs,bigger,0.01,Memiliki=100 PCS
uom_BKS_@50PCS,BKS @50PCS,uomcat_pcs,Pcs,bigger,0.02,Memiliki=50 PCS
uom_BKS_@360PCS,BKS @360PCS,uomcat_pcs,Pcs,bigger,0.0027777778,Memiliki=360 PCS
uom_ROLL_@2000PCS,ROLL @2000PCS,uomcat_pcs,Pcs,bigger,0.0005,Memiliki=2000 PCS
uom_BKS_@600PCS,BKS @600PCS,uomcat_pcs,Pcs,bigger,0.0016666667,Memiliki=600 PCS
uom_LSN_@12PCS,LSN @12PCS,uomcat_pcs,Pcs,bigger,0.0833333333,Memiliki=12 PCS
uom_BKS_@10PCS,BKS @10PCS,uomcat_pcs,Pcs,bigger,0.1,Memiliki=10 PCS
uom_DUS_@32PCS,DUS @32PCS,uomcat_pcs,Pcs,bigger,0.03125,Memiliki=32 PCS
uom_DUS_@30BKS,DUS @30BKS,uomcat_bungkus,Bungkus (BKS),bigger,0.0333333333,Memiliki=30 BKS
uom_DUS_@40BKS,DUS @40BKS,uomcat_bungkus,Bungkus (BKS),bigger,0.025,Memiliki=40 BKS
uom_IKAT_@5BKS,IKAT @5BKS,uomcat_bungkus,Bungkus (BKS),bigger,0.2,Memiliki=5 BKS
uom_DUS_@24BTL,DUS @24BTL,uomcat_botol,Botol (BTL),bigger,0.0416666667,Memiliki=24 BTL
uom_DUS_@24PACK,DUS @24PACK,uomcat_pack,Pack,bigger,0.0416666667,Memiliki=24 PACK
uom_DUS,DUS,uomcat_standalone_DUS,Standalone - DUS,reference,1.0,"standalone, tanpa konversi (belum ada info pasti)"
uom_GELAS,GELAS,uomcat_standalone_GELAS,Standalone - GELAS,reference,1.0,"standalone, tanpa konversi (belum ada info pasti)"
uom_GALON,GALON,uomcat_standalone_GALON,Standalone - GALON,reference,1.0,"standalone, tanpa konversi (belum ada info pasti)"
uom_PAKET,PAKET,uomcat_standalone_PAKET,Standalone - PAKET,reference,1.0,"standalone, tanpa konversi (belum ada info pasti)"
uom_PORSI,PORSI,uomcat_standalone_PORSI,Standalone - PORSI,reference,1.0,"standalone, tanpa konversi (belum ada info pasti)"
