Type,Code,Account Name
Bank and Cash,1100.01,Kas Kasir
Bank and Cash,1100.02,Kas Operasional Resto
Bank and Cash,1100.03,Kas Kecil
Bank and Cash,1101.01,Bank BSI
Receivable,1102.01,Piutang Usaha
Receivable,1102.02,Pinjaman KasBon Karyawan
Receivable,1102.03,Uang Muka Pembelian
Current Assets,1103.01,Persediaan Bahan Baku Beverage
Current Assets,1103.02,Persediaan Bahan Baku Food
Current Assets,1103.03,Persediaan Bahan Pendukung Menu
Current Assets,1103.04,Persediaan Barang Pendukung Habis Pakai
Current Assets,1103.05,Persediaan Barang Perlengkapan Operasional
Prepayments,1104.01,Sewa dibayar dimuka
Prepayments,1104.02,Sewa Ruko Dibayar Dimuka
Prepayments,1104.03,Pajak Dibayar Dimuka
Fixed Assets,1105.01,Kendaraan
Fixed Assets,1105.02,Peralatan Kantor
Fixed Assets,1105.03,Peralatan Resto
Fixed Assets,1105.04,Aset Renovasi
Fixed Assets,1106.01,Akumulasi Penyusutan Kendaraan
Fixed Assets,1106.02,Akumulasi Penyusutan Peralatan Kantor
Fixed Assets,1106.03,Akumulasi Penyusutan Peralatan Resto
Fixed Assets,1106.04,Akumulasi Penyusutan Aset Renovasi
Payable,2101.01,Utang Usaha
Payable,2101.02,Uang Muka Penjualan
Current Liabilities,2102.01,Hutang PPH 21
Current Liabilities,2102.02,Hutang Pajak
Current Liabilities,2102.03,Utang Pembelian Belum Ditagih
Current Liabilities,2102.04,Hutang Deviden
Equity,3101.01,Modal Saham
Equity,3101.02,Prive Investor
Equity,3101.03,Laba Ditahan
Income,4101.01,Penjualan Menu Beverage
Income,4101.02,Penjualan Menu Food
Income,4102.01,Diskon Penjualan Dine In
Income,4102.02,Diskon Penjualan Take Away
Income,4102.03,Diskon Penjualan Go Food
Income,4102.04,Diskon Penjualan Grab Food
Income,4102.05,Diskon Penjualan Shopee food
Income,4102.06,Diskon Penjualan Menu Beverage
Income,4102.07,Diskon Penjualan Menu Food
Income,4103.01,Retur Penjualan Dine In
Income,4103.02,Retur Penjualan Take Away
Income,4103.03,Retur Penjualan Go Food
Income,4103.04,Retur Penjualan Grab Food
Income,4103.05,Retur Penjualan Shopee food
Income,4103.06,Retur Penjualan Menu Beverage
Income,4103.07,Retur Penjualan Menu Food
Cost of Revenue,5101.01,HPP Beverage
Cost of Revenue,5101.02,HPP Food
Cost of Revenue,5101.03,HPP Gas
Cost of Revenue,5101.04,HPP Bahan Pendukung Menu
Cost of Revenue,5101.05,Beban Pemakaian Barang Pendukung Habis Pakai
Cost of Revenue,5101.06,Beban Barang Perlengkapan Operasional
Cost of Revenue,5101.07,Beban Rusak WIP
Cost of Revenue,5101.08,Penyesuaian Stok Opname
Cost of Revenue,5101.09,Beban Pokok Barang Lainnya
Expenses,6101.01,Beban Iklan
Expenses,6101.02,Beban Program Refill Marketing
Expenses,6101.03,Beban Gaji dan Upah
Expenses,6101.04,Beban THR
Expenses,6101.05,"Beban Bonus, Pesangon & Kompensasi"
Expenses,6101.06,Beban Sewa Ruko
Expenses,6101.07,Beban Transportasi Karyawan
Expenses,6101.08,Beban Pengiriman & Materai
Expenses,6101.09,Beban Konsumsi Karyawan
Expenses,6101.1,Beban Tunjangan Kesehatan
Expenses,6101.11,Beban Listrik
Expenses,6101.12,Beban PDAM
Expenses,6101.13,Beban Telepon dan Wifi
Expenses,6101.14,Beban Penyusutan Kendaraan
Expenses,6101.15,Beban Penyusutan Peralatan Kantor
Expenses,6101.16,Beban Penyusutan Peralatan Resto
Expenses,6101.17,Beban Penyusutan Renovasi
Expenses,6101.18,Beban Perlengkapan Kantor
Expenses,6101.19,Beban Pajak
Expenses,6101.2,Beban Retribusi & Sumbangan
Expenses,6101.21,Beban IT & Aplikasi Odoo
Expenses,6101.22,Beban Adm. Bank & Buku Cek/Giro
Expenses,6101.23,Beban Operasional Lainnya
Other Expenses,7201.01,Beban Bunga Pinjaman
Other Expenses,7201.02,Laba/Rugi Disposisi Aset
Other Expenses,7201.03,Beban Diluar Usaha Lainnya
Other Income,7101.01,Pendapatan Bunga Bank
Other Income,7101.02,Penjualan Persediaan / Perlengkapan
Other Income,7101.03,Laba/Rugi Revaluasi Aset
Other Income,7101.04,Pendapatan Charge Beda Kartu
Other Income,7101.05,Selisih Kasir
Other Income,7101.06,Pembulatan Kas Kasir
Other Income,7101.07,Selisih Pengembalian Retur
Other Income,7101.08,Pendapatan Diluar Usaha Lainnya
