Kategori Produk,Nama,Unit
Bahan Baku Food,BERAS,GRM
Bahan Baku Food,BUMBU MARINASI,GRM
Bahan Baku Food,GARAM HALUS,GRM
Bahan Baku Food,CUKA,MIL
Bahan Baku Food,SAOS TIRAM,MIL
Bahan Baku Food,AYAM CUT 9,PTG
Bahan Baku Food,AYAM CUT 2,PTG
Bahan Baku Food,SANTAN KARA,MIL
Bahan Baku Food,BUBUK BBQ,GRM
Bahan Baku Food,BUBUK KEJU,GRM
Bahan Baku Food,SAMBAL IJO PADANG,GRM
Bahan Baku Food,SAMBAL RICA MANADO,GRM
Bahan Baku Food,SAMBAL KOREK SURABAYA,GRM
Bahan Baku Food,SANTAN SASA,MIL
Bahan Baku Food,SAOS SASET CABE,PCS
Bahan Baku Food,SAOS SASET TOMAT,PCS
Bahan Baku Food,TEPUNG MIX GEYUKSSS,GRM
Bahan Baku Food,MINYAK GORENG,MIL
Bahan Baku Food,MINYAK PADAT,GRM
Bahan Baku Food,KULIT AYAM,GRM
Bahan Baku Food,KECAP ABC,MIL
Bahan Baku Food,INDOMIE GORENG,BKS
Bahan Baku Food,TELUR,BUTIR
Bahan Baku Food,KEJU PARUT,GRM
Bahan Baku Food,KEJU MOZARELLA,GRM
Bahan Baku Food,BIHUN JAGUNG,GRM
Bahan Baku Beverage,BIG COLA,MIL
Bahan Baku Beverage,BUBUK ORANGES,GRM
Bahan Baku Beverage,BUBUK BLACKCURRENT,GRM
Bahan Baku Beverage,BUBUK MILO,GRM
Bahan Baku Beverage,LEMON TEA,GRM
Bahan Baku Beverage,TEH MIX,GRM
Bahan Baku Beverage,GULA PASIR,GRM
Bahan Pendukung Menu,SENDOK GARPU,PCS
Bahan Pendukung Menu,ALAS NASI BUNDAR,LEMBAR
Bahan Pendukung Menu,GARPU PLASTIK,PCS
Bahan Pendukung Menu,GELAS 14 OZ,PCS
Bahan Pendukung Menu,KANTONG GELAS 1,LEMBAR
Bahan Pendukung Menu,KANTONG GELAS 2,LEMBAR
Bahan Pendukung Menu,KEMASAN GEPREK YUKSSS,LEMBAR
Bahan Pendukung Menu,KEMASAN SEGEPOK,LEMBAR
Bahan Pendukung Menu,MIKA BUNDAR,PCS
Bahan Pendukung Menu,PEMBUNGKUS NASI PUTIH,LEMBAR
Bahan Pendukung Menu,PIPET,PCS
Bahan Pendukung Menu,PLASTIK KLIP 8X5,LEMBAR
Bahan Pendukung Menu,PLASTIK PUTIH TAKEAWAY UK. 15,LEMBAR
Bahan Pendukung Menu,PLASTIK PUTIH TAKEAWAY UK. 24,LEMBAR
Bahan Pendukung Menu,PLASTIK PUTIH TAKEAWAY UK. 28,LEMBAR
Bahan Pendukung Menu,PLASTIK SEGEPOK,LEMBAR
Bahan Pendukung Menu,ROLL CUP PRESS,PCS
Bahan Pendukung Menu,SENDOK PLASTIK,PCS
Bahan Pendukung Menu,TRAY SAMBAL,PCS
Bahan Pendukung Menu,THINWALL SAUCE 25 ML,PCS
Bahan Pendukung Menu,THINWALL SAUCE 35 ML,PCS
Bahan Pendukung Menu,KERTAS NASI KUNING,LEMBAR
Bahan Pendukung Menu,ALAT REFILL GAS PORTABLE,PCS
Bahan Pendukung Menu,PIRING ROTAN,PCS
Bahan Pendukung Menu,GELAS DINE IN,PCS
Bahan Pendukung Menu,ROLL KASIR BESAR,PCS
Bahan Pendukung Menu,ROLL KASIR KECIL,PCS
Bahan Pendukung Menu,ROLL KASIR SEDANG,PCS
Bahan Pendukung Menu,SARUNG TANGAN PLASTIK,LEMBAR
Bahan Pendukung Menu,TISSUE HAND TOWELS,PACK
Barang Perlengkapan Operasional,BAJU SERAGAM GY,LEMBAR
Barang Perlengkapan Operasional,APRON KAIN GY,LEMBAR
Barang Perlengkapan Operasional,APRON KARET,LEMBAR
Barang Perlengkapan Operasional,TOPI GY,PCS
Barang Perlengkapan Operasional,REGULATOR DEEP FRYER,PCS
Barang Perlengkapan Operasional,REGULATOR HIGH PRESSURE,PCS
Barang Perlengkapan Operasional,PEMANTIK PORTABLE,PCS
Barang Perlengkapan Operasional,PENJEPIT AYAM,PCS
Barang Perlengkapan Operasional,SARINGAN TEH,PCS
Barang Perlengkapan Operasional,SARINGAN TEPUNG,PCS
Barang Perlengkapan Operasional,THERMOMETER,PCS
Barang Perlengkapan Operasional,TIMER DIGITAL,PCS
Barang Perlengkapan Operasional,LAKBAN BENING,PCS
Barang Perlengkapan Operasional,MASKER,LEMBAR
Barang Perlengkapan Operasional,SARUNG TANGAN MEDIS,LEMBAR
Barang Perlengkapan Operasional,KANTONG MERAH BESAR,LEMBAR
Barang Perlengkapan Operasional,PLASTIK SAMPAH 90 X 120,LEMBAR
Barang Perlengkapan Operasional,NOTA 1 FLY,PCS
Barang Perlengkapan Operasional,LAMPU ETALASE,PCS
Barang Perlengkapan Operasional,RINSO,GRM
Barang Perlengkapan Operasional,CAIRAN CUCI PIRING,MIL
Barang Perlengkapan Operasional,CAIRAN CUCI TANGAN,MIL
Barang Perlengkapan Operasional,CAIRAN PEMBERSIH KACA,MIL
Barang Perlengkapan Operasional,CAIRAN PEMBERSIH LANTAI,MIL
Barang Perlengkapan Operasional,CAIRAN PEMBERSIH KERAK/TOILET,MIL
Barang Perlengkapan Operasional,SABUN COLEK,GRM
Barang Perlengkapan Operasional,HIT NYAMUK,BTL
