Kategori Produk,Nama,Unit
Menu Food,AYAM CRISPY DADA/PAHA ATAS,PORSI
Menu Food,AYAM CRISPY PAHA BAWAH,PORSI
Menu Food,AYAM CRISPY SAYAP,PORSI
Menu Food,INDOMIE MEVVAH,PORSI
Menu Food,TELUR CRISPY,PORSI
Menu Food,TEMPE CRISPY,PORSI
Menu Food,TAHU CRISPY,PORSI
Menu Food,TERONG CRISPY,PORSI
Menu Food,TELUR DADAR/CEPLOK,PORSI
Menu Food,SAMBAL TOMAT MALINO,PORSI
Menu Food,SAMBAL RICA MANADO,PORSI
Menu Food,SAMBAL KOREK SURABAYA,PORSI
Menu Food,SAMBAL IJO PADANG,PORSI
Menu Food,NASI,PORSI
Menu Food,GEPREK SAOS BBQ DADA/PAHA ATAS,PORSI
Menu Food,GEPREK SAOS BBQ SAYAP/PAHA BAWAH,PORSI
Menu Food,GEPREK SAOS KEJU  DADA/PAHA ATAS,PORSI
Menu Food,GEPREK ORIGINAL DADA/PAHA ATAS,PORSI
Menu Food,GEPREK ORIGINAL SAYAP,PORSI
Menu Food,GEPREK ORIGINAL PAHA BAWAH,PORSI
Menu Food,GEPREK SAOS KEJU  SAYAP/PAHA BAWAH,PORSI
Menu Food,PAKET GEPREK SMOKEY BBQ (DADA/PAHA ATAS),PAKET
Menu Food,PAKET GEPREK SMOKEY BBQ (SAYAP/PAHA BAWAH),PAKET
Menu Food,PAKET GEPREK KEJU LUMER (DADA/PAHA ATAS),PAKET
Menu Food,PAKET GEPREK KEJU LUMER (SAYAP/PAHA BAWAH),PAKET
Menu Food,GEPREK ANDALAN + NASI,PAKET
Menu Food,PKG SAMBAL IJO PADANG (GEPREK SAMBAL +NASI),PAKET
Menu Food,PKG SAMBAL KOREK SURABAYA (GEPREK SAMBAL +NASI),PAKET
Menu Food,PKG SAMBAL RICA MANADO (GEPREK SAMBAL +NASI),PAKET
Menu Food,PKG SAMBAL TOMAT MALINO (GEPREK SAMBAL + NASI),PAKET
Menu Food,GEPREK KEJU,PORSI
Menu Food,GEPREK MOZAA,PORSI
Menu Food,PAKET KULIT CRISPY + NASI + MINUM,PAKET
Menu Food,GEPREK SAMBAL IJO PADANG,PORSI
Menu Food,GEPREK SAMBAL TOMAT MALINO,PORSI
Menu Food,GEPREK SAMBAL KOREK SURABAYA,PORSI
Menu Food,GEPREK SAMBAL RICA MANADO,PORSI
Menu Food,GEPREK BAKAR ANDALAN,PORSI
Menu Food,PKC (CRISPY DADA/PAHA ATAS+NASI+MINUM),PAKET
Menu Food,PKC (SAYAP+NASI+MINUM),PAKET
Menu Food,PKC (PAHA BAWAH+NASI+MINUM),PAKET
Menu Food,PKG (AYAM GEPREK+ SAMBAL+NASI+ES TEH),PAKET
Menu Food,PKC MIE (CRISPY DADA/PAHA ATAS+INDOMIE),PAKET
Menu Food,PKC MIE (CRISPY SAYAP/PAHA BAWAH+INDOMIE),PAKET
Menu Food,PKG MEVVAH (AYAM GEPREK+TELUR ORAK ARIK+INDOMIE MEVVAH),PAKET
Menu Food,PKG MIE (AYAM GEPREK+SAMBAL LOKAL+INDOMIE),PAKET
Menu Food,INDOMIE,PORSI
Menu Food,PARUTAN KEJU,PORSI
Menu Food,PARUTAN KEJU,PORSI
Menu Food,KULIT CRISPY,PORSI
Menu Food,SAOS KEJU,PORSI
Menu Food,SAOS BBQ,PORSI
Menu Beverage,BLACKCURRANT,GELAS
Menu Beverage,ICE CHOCOLATE,GELAS
Menu Beverage,LEMON TEA,GELAS
Menu Beverage,ICE COLA,GELAS
Menu Beverage,ORANGE,GELAS
Menu Beverage,ES TEH,GELAS
