Id,Nama,Harga Jual,Unit
__export__.product_template_627_04ec7633,ES TEH,3000,GELAS
__export__.product_template_625_eefac505,ICE COLA,6000,GELAS
__export__.product_template_623_50ca9a84,ICE CHOCOLATE,9000,GELAS
__export__.product_template_624_90649467,LEMON TEA,8000,GELAS
__export__.product_template_626_1928ce58,ORANGE,4000,GELAS
__export__.product_template_571_693e90c6,AYAM CRISPY DADA/PAHA ATAS,11500,PORSI
__export__.product_template_572_71f45120,AYAM CRISPY PAHA BAWAH,9000,PORSI
__export__.product_template_573_bfb66255,AYAM CRISPY SAYAP,9000,PORSI
__export__.product_template_631_fe3755a8,AYAM SEGEPOK SINGLE,69000,PORSI
__export__.product_template_632_ad3469fb,PAKET AYAM SEGEPOK BEREMPAT,99000,PORSI
__export__.product_template_607_d22544af,GEPREK BAKAR ANDALAN,14500,PORSI
__export__.product_template_608_47d7bdde,GEPREK ORIGINAL DADA/PAHA ATAS,12000,PORSI
__export__.product_template_589_a31815a5,GEPREK ORIGINAL PAHA BAWAH,10000,PORSI
__export__.product_template_588_f6e38f05,GEPREK ORIGINAL SAYAP,10000,PORSI
__export__.product_template_603_eb025f30,GEPREK SAMBAL IJO PADANG,14500,PORSI
__export__.product_template_605_1f6e22ce,GEPREK SAMBAL KOREK SURABAYA,14500,PORSI
__export__.product_template_606_c6613c3f,GEPREK SAMBAL RICA MANADO,14500,PORSI
__export__.product_template_585_3f403b10,GEPREK SMOKEY BBQ,14500,PORSI
__export__.product_template_634_98c3fa13,GEPREK SAOS KEJU LUMER,14500,PORSI
__export__.product_template_616_cf5c8a23,INDOMIE,5000,PORSI
__export__.product_template_574_e581e393,INDOMIE MEVVAH,11000,PORSI
__export__.product_template_619_d5b62044,KULIT CRISPY,8000,PORSI
__export__.product_template_618_a77be915,MOZZARELLA,7000,PORSI
__export__.product_template_584_39323b40,NASI,4000,PORSI
__export__.product_template_617_94040d4e,PARUTAN KEJU,5000,PORSI
__export__.product_template_583_b5f96c93,MENU SAMBAL IJO PADANG,4000,PORSI
__export__.product_template_582_9465da96,MENU SAMBAL KOREK SURABAYA,3000,PORSI
__export__.product_template_635_6432b092,MENU SAMBAL ORIGINAL,3000,PORSI
__export__.product_template_581_13f5809c,MENU SAMBAL RICA MANADO,3000,PORSI
__export__.product_template_621_12a44dba,SAOS BBQ,3500,PORSI
__export__.product_template_620_546c3d33,SAOS KEJU,3500,PORSI
__export__.product_template_577_f3fc3169,TAHU CRISPY,5000,PORSI
__export__.product_template_575_08993d10,TELUR CRISPY,5000,PORSI
__export__.product_template_579_004ec784,TELUR DADAR/CEPLOK,5000,PORSI
__export__.product_template_576_0fcafb0f,TEMPE CRISPY,5000,PORSI
