product_id,nama_komponen,referensi_internal,uom_pakai,satuan_beli_klien,isi_per_satuan_beli,harga_per_satuan_beli_rp,harga_per_satuan_kecil_rp,harga_sistem_sekarang_rp,pemakaian_3_bulan,nilai_sistem_3_bulan_rp,catatan
447,AYAM CUT 9,,PTG,BKS @9PTG,,,2183.9833,3466.6402,27229.0000,94393145.34,contoh
460,MINYAK PADAT,,GRM,DUS @15KG,,,17.5329,27.8300,1128656.3000,31410504.55,contoh
633,ES KRISTAL,,GRM,BKS@20KG,20000,63000.0000,,5.0000,5784885.0000,28924425.00,
641,SAMBAL KOREK SURABAYA,,GRM,BKS @1KG,,,64.7577,102.7900,259859.6000,26710976.84,contoh
458,TEPUNG MIX GEYUKSSS,,GRM,ZAK @25KG,,,2000.0000,20.0000,1194972.3000,23899446.00,
442,BERAS,,GRM,ZAK @25KG,,,9.6390,15.3000,1489194.0000,22784667.93,contoh
448,AYAM CUT 2,,PTG,BKS @1PTG,,,0,19309.3197,876.0000,16914964.03,
463,INDOMIE GORENG,,BKS,DUS @40BKS,,,1890.0000,3000.0000,5543.0000,16629000.00,contoh
639,SAMBAL RICA MANADO,,GRM,BKS @1KG,,,64.7577,102.7900,128061.6000,13163451.75,contoh
473,TEH MIX,,GRM,"KTG @2,3KG",,,21.9114,34.7800,196184.4800,6823296.25,contoh
466,KEJU MOZARELLA,,GRM,BKS @1KG,,,83.9979,133.3300,44250.0000,5899854.08,contoh
629,AIR GALON,,MIL,GALON,,,0.7497,1.1900,4904066.9000,5835985.85,contoh
451,BUBUK KEJU,,GRM,BKS @1KG,,,94.5000,150.0000,30648.0000,4597200.00,contoh
459,MINYAK GORENG,,MIL,DUS @12LTR,,,14.6979,23.3300,195339.4000,4557267.60,contoh
464,TELUR,,BUTIR,RAK @30BTR,,,1260.0000,2000.0000,2233.0000,4466000.00,contoh
640,SAMBAL IJO PADANG,,GRM,BKS @1KG,,,50.4000,80.0000,46870.0000,3749600.00,contoh
471,BUBUK MILO,,GRM,BKS @950GRM,,,72.1854,114.5800,30555.0000,3500991.87,contoh
638,NUGGET AYAM,,PCS,,,,945.0000,1500.0000,2245.0000,3367500.00,contoh
456,SAOS SASET CABE,,PCS,DUS @30BKS,,,163.8000,260.0000,11328.0000,2945280.00,contoh
457,SAOS SASET TOMAT,,PCS,DUS @30BKS,,,163.8000,260.0000,11328.0000,2945280.00,contoh
450,BUBUK BBQ,,GRM,BKS @1KG,,,56.0700,89.0000,27480.0000,2445720.00,contoh
461,KULIT AYAM,,GRM,BKS @1KG,,,17.6400,28.0000,81410.0000,2279480.00,contoh
637,AIR MINERAL BOTOL,,PCS,BTL,,,971.2520,1541.6699,1452.0000,2238504.72,contoh
482,KEMASAN SEGEPOK,,LEMBAR,RIM @200LBR,,,1291.5000,2050.0000,876.0000,1795800.00,contoh
470,BUBUK BLACKCURRENT,,GRM,BKS @750GRM,,,75.6000,120.0000,14554.0000,1746480.00,contoh
631,BUBUK LEMON TEA,,GRM,BKS @1KG,,,63.0000,100.0000,17366.0000,1736600.00,contoh
465,KEJU PARUT,,GRM,PCS @165GRM,,,46.1979,73.3300,18550.0000,1360271.54,contoh
478,GELAS 14 OZ,,PCS,BKS @50PCS,,,136.7100,217.0000,5868.0000,1273356.00,contoh
481,KEMASAN GEPREK YUKSSS,,LEMBAR,RIM @500LBR,,,674.1000,1070.0000,1156.0000,1236920.00,contoh
630,AIR GELAS,,PCS,,,,315.0000,500.0000,2391.0000,1195500.00,contoh
495,THINWALL SAUCE 35 ML,,PCS,BKS @50PCS,,,156.4479,248.3300,4380.0000,1087685.40,contoh
462,KECAP ABC,,MIL,JRG @5LTR,,,20.7900,33.0000,32720.0000,1079760.00,contoh
446,SAOS TIRAM,,MIL,BTL @1LTR,,,35.9100,57.0000,14250.0000,812250.00,contoh
468,BIG COLA,,MIL,"BTL @3,1LTR",,,5.7897,9.1900,78980.0000,725826.17,contoh
476,ALAS NASI BUNDAR,,LEMBAR,IKAT @5BKS,,,13.4379,21.3300,30162.0000,643355.80,contoh
636,GELAS 22 OZ,,PCS,BKS @25PCS,,,441.0000,700.0000,873.0000,611100.00,contoh
485,PIPET,,PCS,BKS @360PCS,,,21.8736,34.7200,11294.0000,392127.38,contoh
483,MIKA BUNDAR,,PCS,BKS @50PCS,,,315.0000,500.0000,736.0000,368000.00,contoh
443,BUMBU MARINASI,,GRM,BKS @1KG,,,51.6600,82.0000,4303.1000,352854.20,contoh
490,PLASTIK SEGEPOK,,LEMBAR,BKS @50LBR,,,171.3600,272.0000,876.0000,238272.00,contoh
469,BUBUK ORANGES,,GRM,DUS @12BKS-560GRM,,,5.2479,8.3300,15510.0000,129198.26,contoh
634,TEMPE,,GRM,BKS @16PTG,,,25.2000,40.0000,1448.0000,57920.00,contoh
445,CUKA,,MIL,BTL @650MIL,,,18.4149,29.2300,1415.8500,41385.30,contoh
444,GARAM HALUS,,GRM,BKS @500GRM,,,8.0640,12.8000,3010.5000,38534.40,contoh
635,TAHU,,GRM,BIJI @2PTG,,,18.9000,30.0000,1116.0000,33480.00,contoh
632,BUMBU C,,GRM,BKS @1KG,,,25.2000,40.0000,808.0000,32320.00,contoh
486,PLASTIK KLIP 8X5,,LEMBAR,PACK @10BKS-100 LEMBAR,,,3.2130,5.1000,1472.0000,7507.20,contoh
541,SAMBAL TOMAT MALINO,,PORSI,PORSI,,,,0.0000,17816.8500,0.00,
447,AYAM CUT 9,,PTG,BKS @9PTG,,,2183.9833,3466.6402,27229.0000,94393145.34,contoh
999999,MINYAK PADAT,,GRM,DUS @15KG,,,17.5329,27.8300,1128656.3000,31410504.55,contoh
