product_id,nama_komponen,referensi_internal,uom_pakai,satuan_beli_klien,isi_per_satuan_beli,harga_per_satuan_beli_rp,harga_per_satuan_kecil_rp,harga_sistem_sekarang_rp,pemakaian_3_bulan,nilai_sistem_3_bulan_rp,catatan
447,AYAM CUT 9,,PTG,BKS @9PTG,,,,3466.6402,27229.0000,94393145.34,
460,MINYAK PADAT,,GRM,DUS @15KG,,,,27.8300,1128656.3000,31410504.55,
633,ES KRISTAL,,GRM,BKS@20KG,,,,5.0000,5784885.0000,28924425.00,
641,SAMBAL KOREK SURABAYA,,GRM,BKS @1KG,,,,102.7900,259859.6000,26710976.84,
458,TEPUNG MIX GEYUKSSS,,GRM,ZAK @25KG,,,,20.0000,1194972.3000,23899446.00,
442,BERAS,,GRM,ZAK @25KG,,,,15.3000,1489194.0000,22784667.93,
448,AYAM CUT 2,,PTG,BKS @1PTG,,,,19309.3197,876.0000,16914964.03,
463,INDOMIE GORENG,,BKS,DUS @40BKS,,,,3000.0000,5543.0000,16629000.00,
639,SAMBAL RICA MANADO,,GRM,BKS @1KG,,,,102.7900,128061.6000,13163451.75,
473,TEH MIX,,GRM,"KTG @2,3KG",,,,34.7800,196184.4800,6823296.25,
466,KEJU MOZARELLA,,GRM,BKS @1KG,,,,133.3300,44250.0000,5899854.08,
629,AIR GALON,,MIL,GALON,,,,1.1900,4904066.9000,5835985.85,
451,BUBUK KEJU,,GRM,BKS @1KG,,,,150.0000,30648.0000,4597200.00,
459,MINYAK GORENG,,MIL,DUS @12LTR,,,,23.3300,195339.4000,4557267.60,
464,TELUR,,BUTIR,RAK @30BTR,,,,2000.0000,2233.0000,4466000.00,
640,SAMBAL IJO PADANG,,GRM,BKS @1KG,,,,80.0000,46870.0000,3749600.00,
471,BUBUK MILO,,GRM,BKS @950GRM,,,,114.5800,30555.0000,3500991.87,
638,NUGGET AYAM,,PCS,,,,,1500.0000,2245.0000,3367500.00,
456,SAOS SASET CABE,,PCS,DUS @30BKS,,,,260.0000,11328.0000,2945280.00,
457,SAOS SASET TOMAT,,PCS,DUS @30BKS,,,,260.0000,11328.0000,2945280.00,
450,BUBUK BBQ,,GRM,BKS @1KG,,,,89.0000,27480.0000,2445720.00,
461,KULIT AYAM,,GRM,BKS @1KG,,,,28.0000,81410.0000,2279480.00,
637,AIR MINERAL BOTOL,,PCS,BTL,,,,1541.6699,1452.0000,2238504.72,
482,KEMASAN SEGEPOK,,LEMBAR,RIM @200LBR,,,,2050.0000,876.0000,1795800.00,
470,BUBUK BLACKCURRENT,,GRM,BKS @750GRM,,,,120.0000,14554.0000,1746480.00,
631,BUBUK LEMON TEA,,GRM,BKS @1KG,,,,100.0000,17366.0000,1736600.00,
465,KEJU PARUT,,GRM,PCS @165GRM,,,,73.3300,18550.0000,1360271.54,
478,GELAS 14 OZ,,PCS,BKS @50PCS,,,,217.0000,5868.0000,1273356.00,
481,KEMASAN GEPREK YUKSSS,,LEMBAR,RIM @500LBR,,,,1070.0000,1156.0000,1236920.00,
630,AIR GELAS,,PCS,,,,,500.0000,2391.0000,1195500.00,
495,THINWALL SAUCE 35 ML,,PCS,BKS @50PCS,,,,248.3300,4380.0000,1087685.40,
462,KECAP ABC,,MIL,JRG @5LTR,,,,33.0000,32720.0000,1079760.00,
446,SAOS TIRAM,,MIL,BTL @1LTR,,,,57.0000,14250.0000,812250.00,
468,BIG COLA,,MIL,"BTL @3,1LTR",,,,9.1900,78980.0000,725826.17,
476,ALAS NASI BUNDAR,,LEMBAR,IKAT @5BKS,,,,21.3300,30162.0000,643355.80,
636,GELAS 22 OZ,,PCS,BKS @25PCS,,,,700.0000,873.0000,611100.00,
485,PIPET,,PCS,BKS @360PCS,,,,34.7200,11294.0000,392127.38,
483,MIKA BUNDAR,,PCS,BKS @50PCS,,,,500.0000,736.0000,368000.00,
443,BUMBU MARINASI,,GRM,BKS @1KG,,,,82.0000,4303.1000,352854.20,
490,PLASTIK SEGEPOK,,LEMBAR,BKS @50LBR,,,,272.0000,876.0000,238272.00,
469,BUBUK ORANGES,,GRM,DUS @12BKS-560GRM,,,,8.3300,15510.0000,129198.26,
634,TEMPE,,GRM,BKS @16PTG,,,,40.0000,1448.0000,57920.00,
445,CUKA,,MIL,BTL @650MIL,,,,29.2300,1415.8500,41385.30,
444,GARAM HALUS,,GRM,BKS @500GRM,,,,12.8000,3010.5000,38534.40,
635,TAHU,,GRM,BIJI @2PTG,,,,30.0000,1116.0000,33480.00,
632,BUMBU C,,GRM,BKS @1KG,,,,40.0000,808.0000,32320.00,
486,PLASTIK KLIP 8X5,,LEMBAR,PACK @10BKS-100 LEMBAR,,,,5.1000,1472.0000,7507.20,
541,SAMBAL TOMAT MALINO,,PORSI,PORSI,,,,0.0000,17816.8500,0.00,"PRODUK MENU, bukan bahan — sejak 13 Sep tidak lagi dipakai sbg komponen resep; bahan barunya product_id 655"
655,SAMBAL TOMAT MALINO,,GRM,,,,,0.0000,,,RESEP BARU (13 Sep) — bahan sambal tomat malino belum punya harga; mohon diisi agar HPP menu GEPREK/PKG SAMBAL TOMAT MALINO benar
