Nama Komponen,UoM,Standard Price Sekarang
AIR GALON,MIL,0.0
AIR GELAS,PCS,0.0
AIR MINERAL BOTOL,PCS,0.0
ALAS NASI BUNDAR,LEMBAR,0.0
AYAM CUT 2,PTG,0.0
AYAM CUT 9,PTG,0.0
BERAS,GRM,0.0
BIG COLA,MIL,0.0
BUBUK BBQ,GRM,0.0
BUBUK KEJU,GRM,0.0
BUBUK LEMON TEA,GRM,0.0
BUBUK MILO,GRM,0.0
BUBUK ORANGES,GRM,0.0
BUMBU C,GRM,0.0
BUMBU MARINASI,GRM,0.0
CUKA,MIL,0.0
ES KRISTAL,GRM,0.0
ES TEH,GELAS,0.0
GARAM HALUS,GRM,0.0
GELAS 14 OZ,PCS,0.0
GELAS 22 OZ,PCS,0.0
INDOMIE GORENG,BKS,0.0
KECAP ABC,MIL,0.0
KEJU MOZARELLA,GRM,0.0
KEJU PARUT,GRM,0.0
KEMASAN GEPREK YUKSSS,LEMBAR,0.0
KEMASAN SEGEPOK,LEMBAR,0.0
KERTAS NASI KUNING,LEMBAR,0.0
KULIT AYAM,GRM,0.0
MIKA BUNDAR,PCS,0.0
MINYAK GORENG,MIL,0.0
MINYAK PADAT,GRM,0.0
NASI,PORSI,0.0
NUGGET AYAM,PCS,0.0
PEMBUNGKUS NASI PUTIH,LEMBAR,0.0
PIPET,PCS,0.0
PLASTIK KLIP 8X5,LEMBAR,0.0
PLASTIK SEGEPOK,LEMBAR,0.0
SAMBAL IJO PADANG,PORSI,0.0
SAMBAL KOREK SURABAYA,PORSI,0.0
SAMBAL RICA MANADO,PORSI,0.0
SAOS SASET CABE,PCS,0.0
SAOS SASET TOMAT,PCS,0.0
SAOS TIRAM,MIL,0.0
TAHU,GRM,0.0
TEH MIX,GRM,0.0
TELUR,BUTIR,0.0
TEMPE,GRM,0.0
TEPUNG MIX GEYUKSSS,GRM,0.0
THINWALL SAUCE 35 ML,PCS,0.0
