nama,jual,hpp,dasar,margin,platform,margin_platform,asal,ver,kurang
TELUR KRISPI,2000.0,2000.0,resep,0.0,2500.0,10.0,klien,0.0,TELUR (100%)
YUKSSS RAMA 3,21000.0,17416.662267627387,resep,17.06351301129816,23500.0,15.886543542011117,lantai,69.36366226662247,AIR GALON (1%) | ES KRISTAL (4%) | NUGGET AYAM (26%)
YUKSSS RAMA 2,19500.0,15916.66226762739,resep,18.37609093524416,21500.0,15.969012708709817,lantai,75.90055371097696,AIR GALON (1%) | ES KRISTAL (5%) | NUGGET AYAM (19%)
GEPREK ORIGINAL PAHA BAWAH,12000.0,9004.277098474,resep,24.96435751271666,13500.0,23.301651122414814,klien,91.94827089314178,ES KRISTAL (8%)
NUGGET,2000.0,1500.0,resep,25.0,2500.0,30.0,klien,0.0,NUGGET AYAM (100%)
MOZZARELLA,9500.0,6666.501789781973,resep,29.826296949663444,10500.0,26.509506763981218,komponen,100.0,
GEPREK ORIGINAL SAYAP,13000.0,9004.277098474,resep,30.736330011738467,14500.0,27.901537251903445,klien,91.94827089314178,ES KRISTAL (8%)
BLACKCURRANT,8500.0,5624.754054082729,resep,33.82642289314436,9500.0,30.792062588602846,lantai,4.475217416690834,AIR GALON (3%) | BUBUK BLACKCURRENT (81%) | ES KRISTAL (12%)
PKG MIE (AYAM GEPREK+SAMBAL LOKAL+INDOMIE),19500.0,12192.301805038425,resep,37.475375358777306,21500.0,33.291619511449184,komponen+lantai,92.51146566772879,AIR GALON (2%) | ES KRISTAL (6%)
GEPREK ORIGINAL DADA/PAHA ATAS,15000.0,9004.277098474,resep,39.97148601017333,16500.0,35.42862364561212,klien,91.94827089314178,ES KRISTAL (8%)
GEPREK BAKAR ANDALAN,17000.0,10135.492037187485,resep,40.379458604779494,19000.0,36.65530506743429,komponen,92.8469185576788,ES KRISTAL (7%)
PKG SAMBAL ORI SAYAP,21000.0,12482.990959703004,resep,40.55718590617617,23500.0,36.88088953317871,komponen+lantai,84.41096876014458,AIR GALON (1%) | AIR GALON (2%) | ES KRISTAL (6%) | ES KRISTAL (7%)
KOREK,5000.0,2939.794941692429,resep,41.20410116615142,5500.0,36.54918287831948,klien,100.0,
PKG SAMBAL ORI PAHA BAWAH,21000.0,12244.660948353876,resep,41.6920907221244,23500.0,37.895059794238826,komponen+lantai,84.10754394438304,AIR GALON (1%) | AIR GALON (2%) | ES KRISTAL (6%) | ES KRISTAL (7%)
AYAM CRISPY PAHA BAWAH,11000.0,6397.842113883938,resep,41.83779896469147,12500.0,38.8172630889285,klien,88.66805421117411,ES KRISTAL (11%)
PAKET MEVVAH BERDUA,53500.0,30578.802291047217,resep,42.84336020365006,59000.0,38.17152154059794,komponen,75.20509320873025,AIR GALON (0%) | AIR GALON (1%) | AIR GALON (2%) | ES KRISTAL (2%) | ES KRISTAL (2%) | ES KRISTAL (4%) | TELUR (13%)
MENU SAMBAL KOREK SURABAYA,5500.0,3126.434984590062,resep,43.15572755290796,6500.0,41.90100023707597,komponen,100.0,
MENU SAMBAL ORIGINAL,5500.0,3126.434984590062,resep,43.15572755290796,6500.0,41.90100023707597,komponen,100.0,
PAKET AYAM CRISPY PAHA BAWAH,17000.0,9638.225963763814,resep,43.304553154330506,19000.0,39.272494927558874,komponen+lantai,79.80979728331138,AIR GALON (1%) | AIR GALON (2%) | ES KRISTAL (8%) | ES KRISTAL (9%)
PAKET AYAM CRISPY SAYAP,17000.0,9638.225963763814,resep,43.304553154330506,19000.0,39.272494927558874,komponen+lantai,79.80979728331138,AIR GALON (1%) | AIR GALON (2%) | ES KRISTAL (8%) | ES KRISTAL (9%)
YUKSSS RAMA 1,25000.0,13906.462261853967,resep,44.37415095258414,28000.0,40.33406335052155,lantai,83.20329476894109,AIR GALON (1%) | ES KRISTAL (5%) | NUGGET AYAM (11%)
GEPREK ANDALAN + NASI,20500.0,11397.677200567452,resep,44.40157463137828,23000.0,40.44488173666325,komponen,92.66668585639148,AIR GALON (1%) | ES KRISTAL (6%)
PKG INDOMIE GEPREK SAMBAL LOKAL,22000.0,12192.301805038425,resep,44.580446340734426,24500.0,40.23550283657786,klien,92.51146566772879,AIR GALON (2%) | ES KRISTAL (6%)
