id_product_template|nama|list_price_pra_R3
1|Tips|1.0
453|BERAS|1.0
454|BUMBU MARINASI|1.0
455|GARAM HALUS|1.0
456|CUKA|1.0
457|SAOS TIRAM|1.0
458|AYAM CUT 9|1.0
459|AYAM CUT 2|1.0
460|SANTAN KARA|1.0
461|BUBUK BBQ|1.0
462|BUBUK KEJU|1.0
463|SAMBAL IJO PADANG|1.0
464|SAMBAL RICA MANADO|1.0
465|SAMBAL KOREK SURABAYA|1.0
466|SANTAN SASA|1.0
467|SAOS SASET CABE|1.0
468|SAOS SASET TOMAT|1.0
469|TEPUNG MIX GEYUKSSS|1.0
470|MINYAK GORENG|1.0
471|MINYAK PADAT|1.0
472|KULIT AYAM|1.0
473|KECAP ABC|1.0
474|INDOMIE GORENG|1.0
475|TELUR|1.0
476|KEJU PARUT|1.0
477|KEJU MOZARELLA|1.0
478|BIHUN JAGUNG|1.0
479|BIG COLA|1.0
480|BUBUK ORANGES|1.0
481|BUBUK BLACKCURRENT|1.0
482|BUBUK MILO|1.0
483|LEMON TEA|8000.0
484|TEH MIX|1.0
485|GULA PASIR|1.0
486|SENDOK GARPU|1.0
487|ALAS NASI BUNDAR|1.0
488|GARPU PLASTIK|1.0
489|GELAS 14 OZ|1.0
490|KANTONG GELAS 1|1.0
491|KANTONG GELAS 2|1.0
492|KEMASAN GEPREK YUKSSS|1.0
493|KEMASAN SEGEPOK|1.0
494|MIKA BUNDAR|1.0
495|PEMBUNGKUS NASI PUTIH|1.0
496|PIPET|1.0
497|PLASTIK KLIP 8X5|1.0
498|PLASTIK PUTIH TAKEAWAY UK. 15|1.0
499|PLASTIK PUTIH TAKEAWAY UK. 24|1.0
500|PLASTIK PUTIH TAKEAWAY UK. 28|1.0
501|PLASTIK SEGEPOK|1.0
502|ROLL CUP PRESS|1.0
503|SENDOK PLASTIK|1.0
504|TRAY SAMBAL|1.0
505|THINWALL SAUCE 25 ML|1.0
506|THINWALL SAUCE 35 ML|1.0
507|KERTAS NASI KUNING|1.0
508|ALAT REFILL GAS PORTABLE|1.0
509|PIRING ROTAN|1.0
510|GELAS DINE IN|1.0
