product_id,menu,harga_dasar,harga_dine_in,rasio,sumber,komponen,omzet_3bln
600,PAKET AYAM SEGEPOK BEREMPAT,99000.00,124000.00,1.253,komponen+lantai,"AYAM (potongan tidak disebut) + lantai paket 1,25x",29799000
599,AYAM SEGEPOK SINGLE,69000.00,89000.00,1.290,klien,,21114000
601,SEGEPOK BERLIMA,100000.00,129000.00,1.290,klien,,16618013
621,PAKET BIG ORDER CRISPY MIX,47777.00,59500.00,1.245,komponen+lantai,"AYAM (potongan tidak disebut) + lantai paket 1,25x",14763093
567,PKC (CRISPY DADA/PAHA ATAS+NASI+MINUM),18777.00,24500.00,1.305,komponen,NASI + MINUM + AYAM DADA,9163176
555,PKG SAMBAL IJO PADANG (GEPREK SAMBAL +NASI),18777.00,23500.00,1.252,komponen+lantai,"NASI + AYAM (potongan tidak disebut) + lantai paket 1,25x",9163176
614,PAKET MEVVAH BERDUA,40000.00,53500.00,1.337,komponen,MEVVAH + AYAM (potongan tidak disebut),8416431
552,PAKET GEPREK KEJU LUMER (DADA/PAHA ATAS),18777.00,23500.00,1.252,komponen+lantai,"AYAM DADA + lantai paket 1,25x",8205549
612,PAKET SETIA AC,27777.00,34500.00,1.242,lantai,,8138661
590,PKG GEPREK BAKAR ANDALAN,18777.00,23500.00,1.252,komponen+lantai,"AYAM (potongan tidak disebut) + lantai paket 1,25x",8036556
594,PKG SAMBAL ORI DADA/PAHA ATAS,18777.00,23500.00,1.252,komponen+lantai,"AYAM DADA + lantai paket 1,25x",7999002
593,PKG SAMBAL KOREK SURABAYA,18777.00,23500.00,1.252,komponen+lantai,"AYAM (potongan tidak disebut) + lantai paket 1,25x",7867563
556,PKG SAMBAL KOREK SURABAYA (GEPREK SAMBAL +NASI),18777.00,23500.00,1.252,komponen+lantai,"NASI + AYAM (potongan tidak disebut) + lantai paket 1,25x",7867563
595,PKG SAMBAL ORI PAHA BAWAH,16777.00,21000.00,1.252,komponen+lantai,"AYAM BAWAH + lantai paket 1,25x",7784528
592,PKG SAMBAL IJO PADANG,18777.00,23500.00,1.252,komponen+lantai,"AYAM (potongan tidak disebut) + lantai paket 1,25x",7661016
554,GEPREK ANDALAN + NASI,16777.00,20500.00,1.222,komponen,NASI + AYAM (potongan tidak disebut),7583204
598,PKG SMOKEY BBQ,18777.00,23500.00,1.252,komponen+lantai,"AYAM (potongan tidak disebut) + lantai paket 1,25x",7398138
597,PKG SAMBAL RICA MANADO,18777.00,23500.00,1.252,komponen+lantai,"AYAM (potongan tidak disebut) + lantai paket 1,25x",7285476
570,PKG (AYAM GEPREK+ SAMBAL+NASI+ES TEH),18777.00,24500.00,1.305,komponen,NASI + MINUM + AYAM (potongan tidak disebut),7172814
558,PKG SAMBAL TOMAT MALINO (GEPREK SAMBAL + NASI),18777.00,23500.00,1.252,komponen+lantai,"NASI + AYAM (potongan tidak disebut) + lantai paket 1,25x",7172814
615,PAKET YUKSSS MABAR,38000.00,47500.00,1.250,lantai,,7138689
574,PKG MIE (AYAM GEPREK+SAMBAL LOKAL+INDOMIE),15777.00,19500.00,1.236,komponen+lantai,"INDOMIE + AYAM (potongan tidak disebut) + lantai paket 1,25x",7068096
585,PAKET AYAM CRISPY DADA/PAHA ATAS,16777.00,21000.00,1.252,komponen+lantai,"AYAM DADA + lantai paket 1,25x",7046340
604,PAKET INDOMIE CRISPY DADA/PAHA ATAS,17777.00,22000.00,1.238,komponen+lantai,"INDOMIE + AYAM DADA + lantai paket 1,25x",7004138
609,BIG HEMAT 2,14777.00,18500.00,1.252,lantai,,6945190
557,PKG SAMBAL RICA MANADO (GEPREK SAMBAL +NASI),18777.00,23500.00,1.252,komponen+lantai,"NASI + AYAM (potongan tidak disebut) + lantai paket 1,25x",6909936
551,PAKET GEPREK SMOKEY BBQ (SAYAP/PAHA BAWAH),16777.00,21000.00,1.252,komponen+lantai,"AYAM SAYAP + lantai paket 1,25x",6811462
620,PKG LOKAL DUO,42000.00,52500.00,1.250,lantai,,6721002
553,PAKET GEPREK KEJU LUMER (SAYAP/PAHA BAWAH),16777.00,21000.00,1.252,komponen+lantai,"AYAM SAYAP + lantai paket 1,25x",6710800
613,PAKET SETIA GO,27777.00,34500.00,1.242,lantai,,6694257
566,GEPREK BAKAR ANDALAN,14500.00,17000.00,1.172,komponen,AYAM (potongan tidak disebut),6612000
565,GEPREK SAMBAL RICA MANADO,14500.00,17000.00,1.172,klien,,6612000
571,PKC MIE (CRISPY DADA/PAHA ATAS+INDOMIE),17777.00,22000.00,1.238,komponen+lantai,"INDOMIE + AYAM DADA + lantai paket 1,25x",6541936
550,PAKET GEPREK SMOKEY BBQ (DADA/PAHA ATAS),18777.00,23500.00,1.252,komponen+lantai,"AYAM DADA + lantai paket 1,25x",6534396
589,PAKET GEPREK LUMER,18777.00,23500.00,1.252,komponen+lantai,"AYAM (potongan tidak disebut) + lantai paket 1,25x",6478065
607,PKG INDOMIE GEPREK SAMBAL LOKAL,15777.00,22000.00,1.394,klien,,6452793
561,PAKET KULIT CRISPY + NASI + MINUM,15777.00,23500.00,1.490,komponen,NASI + MINUM + KULIT + AYAM (potongan tidak disebut),6358131
616,YUKSSS RAMA 1,20000.00,25000.00,1.250,lantai,,6206340
562,GEPREK SAMBAL IJO PADANG,14500.00,17000.00,1.172,klien,,6191500
560,GEPREK MOZAA,14777.00,25000.00,1.692,klien,,6176786
586,PAKET AYAM CRISPY PAHA BAWAH,13777.00,17000.00,1.234,komponen+lantai,"AYAM BAWAH + lantai paket 1,25x",6172096
617,YUKSSS RAMA 2,15777.00,19500.00,1.236,lantai,,6042591
596,PKG SAMBAL ORI SAYAP,16777.00,21000.00,1.252,komponen+lantai,"AYAM SAYAP + lantai paket 1,25x",6022943
559,GEPREK KEJU,13777.00,21000.00,1.524,klien,,5979218
618,YUKSSS RAMA 3,16777.00,21000.00,1.252,lantai,,5922281
564,GEPREK SAMBAL KOREK SURABAYA,14500.00,18000.00,1.241,klien,,5669500
605,PAKET INDOMIE CRISPY PAHA BAWAH,14777.00,18500.00,1.252,komponen+lantai,"INDOMIE + AYAM BAWAH + lantai paket 1,25x",5644814
611,BIG HEMAT 4,15000.00,19000.00,1.267,lantai,,5625000
587,PAKET AYAM CRISPY SAYAP,13777.00,17000.00,1.234,komponen+lantai,"AYAM SAYAP + lantai paket 1,25x",5607239
543,GEPREK SAOS BBQ DADA/PAHA ATAS,12777.00,15500.00,1.213,komponen,AYAM DADA,5570772
610,BIG HEMAT 3,14000.00,17500.00,1.250,lantai,,5502000
608,BIG HEMAT 1,14777.00,18500.00,1.252,lantai,,5497044
572,PKC MIE (CRISPY SAYAP/PAHA BAWAH+INDOMIE),14777.00,19000.00,1.286,komponen,INDOMIE + AYAM SAYAP,5467490
568,PKC (SAYAP+NASI+MINUM),15777.00,22000.00,1.394,komponen,NASI + MINUM + AYAM SAYAP,5332626
602,GEPREK SAOS KEJU LUMER,14500.00,19000.00,1.310,klien,,5307000
606,PKG INDOMIE CRISPY SAYAP,14777.00,19000.00,1.286,komponen,INDOMIE + AYAM SAYAP,5216281
603,GEPREK SMOKEY BBQ,14500.00,19000.00,1.310,klien,,5104000
588,PAKET GEPREK BAKAR,40000.00,50000.00,1.250,komponen+lantai,"AYAM (potongan tidak disebut) + lantai paket 1,25x",5033100
563,GEPREK SAMBAL TOMAT MALINO,12777.00,15500.00,1.213,komponen,AYAM (potongan tidak disebut),4893591
569,PKC (PAHA BAWAH+NASI+MINUM),15777.00,21000.00,1.331,komponen,NASI + MINUM + AYAM BAWAH,4843539
591,PKG GEPREK MEVVAH,21777.00,35500.00,1.630,komponen,MEVVAH + AYAM (potongan tidak disebut),4834494
573,PKG MEVVAH (AYAM GEPREK+TELUR ORAK ARIK+INDOMIE MEVVAH),21777.00,36500.00,1.676,komponen,INDOMIE + MEVVAH + AYAM (potongan tidak disebut),4660278
545,GEPREK SAOS KEJU  DADA/PAHA ATAS,13777.00,16500.00,1.198,komponen,AYAM DADA,4518856
619,PAKET KULIT CRISPY,11777.00,16500.00,1.401,komponen,KULIT + AYAM (potongan tidak disebut),4498814
546,GEPREK ORIGINAL DADA/PAHA ATAS,12000.00,15000.00,1.250,klien,,4452000
549,GEPREK SAOS KEJU  SAYAP/PAHA BAWAH,11777.00,15000.00,1.274,komponen,AYAM SAYAP,4428152
534,AYAM CRISPY SAYAP,9000.00,12000.00,1.333,klien,,4419000
535,INDOMIE MEVVAH,11000.00,22000.00,2.000,klien,,4301000
532,AYAM CRISPY DADA/PAHA ATAS,11500.00,14000.00,1.217,klien,,4128500
547,GEPREK ORIGINAL SAYAP,10000.00,13000.00,1.300,klien,,3880000
544,GEPREK SAOS BBQ SAYAP/PAHA BAWAH,10777.00,14000.00,1.299,komponen,AYAM SAYAP,3815058
533,AYAM CRISPY PAHA BAWAH,9000.00,11000.00,1.222,klien,,3726000
472,LEMON TEA,8000.00,8000.00,1.000,klien,,3656000
548,GEPREK ORIGINAL PAHA BAWAH,10000.00,12000.00,1.200,klien,,3530000
622,MOZZARELLA,7000.00,9500.00,1.357,komponen,AYAM (potongan tidak disebut),3269000
581,ICE CHOCOLATE,9000.00,15000.00,1.667,klien,,3051000
577,KULIT CRISPY,8000.00,10000.00,1.250,klien,,3024000
580,BLACKCURRANT,6777.00,8500.00,1.254,lantai,,2595591
536,TELUR CRISPY,5000.00,7500.00,1.500,komponen,AYAM (potongan tidak disebut),2235000
575,INDOMIE,5000.00,8500.00,1.700,komponen,INDOMIE + AYAM (potongan tidak disebut),2170000
582,ICE COLA,6000.00,7000.00,1.167,klien,,2154000
538,TAHU CRISPY,5000.00,7500.00,1.500,komponen,AYAM (potongan tidak disebut),1860000
576,PARUTAN KEJU,5000.00,7500.00,1.500,komponen,AYAM (potongan tidak disebut),1855000
537,TEMPE CRISPY,5000.00,7500.00,1.500,komponen,AYAM (potongan tidak disebut),1810000
540,TELUR DADAR/CEPLOK,5000.00,5000.00,1.000,klien,,1805000
630,AIR GELAS,3000.00,5000.00,1.667,klien,,0
646,BARBEQUE,5000.00,5000.00,1.000,klien,,0
584,ES TEH,3000.00,5000.00,1.667,klien,,0
642,Gift Card,50.00,50.00,1.000,non-menu,,0
647,IJO,5000.00,5000.00,1.000,klien,,0
650,KEJU LUMER,5000.00,5000.00,1.000,klien,,0
623,KEMASAN VARIAN AYAM,4000.00,6500.00,1.625,komponen,AYAM (potongan tidak disebut),0
624,KEMASAN VARIAN INDOMIE,1977.00,5500.00,2.782,komponen,INDOMIE + AYAM (potongan tidak disebut),0
648,KOREK,5000.00,5000.00,1.000,klien,,0
625,MENU SAMBAL IJO PADANG,4000.00,6500.00,1.625,komponen,AYAM (potongan tidak disebut),0
626,MENU SAMBAL KOREK SURABAYA,3000.00,5500.00,1.833,komponen,AYAM (potongan tidak disebut),0
627,MENU SAMBAL ORIGINAL,3000.00,5500.00,1.833,komponen,AYAM (potongan tidak disebut),0
628,MENU SAMBAL RICA MANADO,3000.00,5500.00,1.833,komponen,AYAM (potongan tidak disebut),0
542,NASI,4000.00,5000.00,1.250,klien,,0
651,NUGGET,2000.00,2000.00,1.000,klien,,0
583,ORANGE,4000.00,5000.00,1.250,lantai,,0
649,RICA,5000.00,5000.00,1.000,klien,,0
541,SAMBAL TOMAT MALINO,4000.00,6500.00,1.625,komponen,AYAM (potongan tidak disebut),0
579,SAOS BBQ,3500.00,6000.00,1.714,komponen,AYAM (potongan tidak disebut),0
578,SAOS KEJU,3500.00,6000.00,1.714,komponen,AYAM (potongan tidak disebut),0
652,TAHU/BIJI,2000.00,2000.00,1.000,klien,,0
654,TELUR KRISPI,2000.00,2000.00,1.000,klien,,0
653,TEMPE/BIJI,2000.00,2000.00,1.000,klien,,0
